Category;Title;Link
Notícia;Logística brasileira é eficiente para distribuir a vacina?;https://www.terra.com.br/vida-e-estilo/saude/logistica-brasileira-e-eficiente-para-distribuir-a-vacina,8055ea50bdceabd0ee252fab6856f7088g79yukr.html
Notícia;Recorde de mortes nos EUA gera pedido de decretos mais duros;https://www.terra.com.br/noticias/coronavirus/recorde-de-mortes-nos-eua-gera-pedido-de-decretos-mais-duros,40a178481e4c9304c487cd18b816b56ccepn0dgz.html
Notícia;"Gucci doa US$ 500 mil para Unicef vacinar ""mais frágeis""";https://www.terra.com.br/noticias/coronavirus/gucci-doa-us-500-mil-para-unicef-vacinar-mais-frageis,76ba655eeb2d934e6dbdac9d95beb089fmbam1ns.html
Notícia;55% dos espanhóis não querem tomar vacina de imediato;https://www.terra.com.br/noticias/coronavirus/55-dos-espanhois-nao-querem-tomar-vacina-de-imediato,fffef3ddf6418ccd7da349d21dce6288s6vc5xqj.html
Notícia;Governo nega relação com bolsonaristas investigados;https://www.terra.com.br/noticias/brasil/politica/governo-nega-relacao-com-bolsonaristas-investigados,57fbde796b3b3063281e71c12a9d503cyj4tqbl6.html
Notícia;"Bolsonaro pede para brasileiros ""tomarem banho mais rápido""";https://www.istoedinheiro.com.br/bolsonaro-pede-para-brasileiros-tomarem-banho-mais-rapido/
Notícia;As ideias do governo para o programa que não saíram do papel;https://www.terra.com.br/noticias/brasil/politica/renda-cidada-as-cinco-ideias-do-governo-para-financiar-o-programa-que-nao-sairam-do-papel,5d5815433087cad7d64cf53a50d8be5apa04jrxm.html
Notícia;Litoral norte de SP mantém comércio ampliado na temporada;https://www.terra.com.br/noticias/coronavirus/litoral-norte-de-sp-mantem-comercio-ampliado-na-temporada,45a6a6960d5946d458d75f945e18e3694jet6b4s.html
Notícia;Setor de refrigeração diz ser possível adaptar rede a -70 C;https://www.terra.com.br/noticias/coronavirus/setor-de-refrigeracao-diz-ser-possivel-adaptar-rede-para-vacina-da-pfizer,f6a24554936580d6b2c9621563a5a394a8mose90.html
Notícia;Conheça a única mulher eleita prefeita de uma capital;https://www.terra.com.br/noticias/eleicoes/conheca-a-unica-mulher-eleita-prefeita-de-uma-capital,45bb32731f6870709644253cd50eedd94rn3crnx.html
Notícia;Bolsonaro manda Salles para Conferência do Clima, em 2021;https://www.terra.com.br/noticias/ciencia/sustentabilidade/bolsonaro-manda-salles-para-conferencia-do-clima-em-2021,5ae8d8b9ca46f8ab619d07d5c1e4949962fi19di.html
Notícia;Renda de Arthur Lira chegou a R$ 500 mil por mês, diz MP;https://www.terra.com.br/noticias/brasil/politica/renda-de-arthur-lira-chegou-a-r-500-mil-por-mes-diz-mp,5497c1b839e92fe096be0c0efeacda93tq7u30lw.html
Notícia;"Após eliminação, Castan desabafa: ""Estamos tentando de tudo""";https://www.terra.com.br/esportes/lance/apos-eliminacao-castan-desabafa-estamos-tentando-de-tudo,5daff84cf45f5b5d701649ef5ea4ecc88jfmeyeg.html
Notícia;"Diretor O Boticário: ""Sustentabilidade não é moda para nós""";https://www.terra.com.br/noticias/tecnologia/inovacao/diretor-o-boticario-sustentabilidade-nao-e-moda-para-nos,f62fd9325aaa5c65b293a0e8cdc735f28is7kmcd.html
Notícia;Loggi lança programa piloto para melhorar entregas em Paraisópolis;https://www.terra.com.br/noticias/tecnologia/inovacao/loggi-lanca-programa-piloto-para-melhorar-entregas-em-paraisopolis,a74aad8487bb7383c6cac1dc7887525cuzeck9yd.html
Notícia;Startup The Coffee recebe aporte de R$ 28 mi e quer expandir lojas para a Europa;https://www.terra.com.br/noticias/tecnologia/inovacao/startup-the-coffee-recebe-aporte-de-r-28-mi-e-quer-expandir-lojas-para-a-europa,db7435e2bc5fb66c2c1f16fcae506ba11rv6boif.html
Notícia;Tudo o que você precisa saber para aproveitar a CCXP Worlds;https://www.terra.com.br/diversao/cinema/ccxp/tudo-o-que-voce-precisa-saber-para-aproveitar-a-ccxp-worlds,2151b6a30264f1fe6daabe5d3ceca6ef1ngvehoo.html
Notícia;Pokémon Kids: Festival Inverno vai até janeiro;https://www.games4u.com/sc/br/g4u/noticias/pokemon-kids-festival-inverno-vai-ate-janeiro/c02c4805591baf7edfb2d6f2869d4087bnfjsh8i
Notícia;Zangado testa Mario Kart Live: Home Circuit (Parte 1);https://www.games4u.com/sc/br/g4u/noticias/zangado-testa-mario-kart-live-home-circuit-parte-1/abbfee7ed2a9a159ab72ef016df1f2b9cul060m8
Notícia;Como ganhar dinheiro em cidades pequenas;https://www.terraempresas.com.br/blog/como-ganhar-dinheiro-cidade-pequena-interior/?cdConvenio=CVTR00002025utm_source=Terra&utm_medium=espacos-editoriais&utm_campaign=Inbound&utm_term=terra-empresas&utm_content=blogpost
Notícia;Descubra como fazer um site para a sua empresa;https://pages.terraempresas.com.br/lp-guia-rapido-site-profissional/?cdConvenio=CVTR00002025utm_source=Terra&utm_medium=espacos-editoriais&utm_campaign=Inbound&utm_term=terra-empresas&utm_content=ebook
Notícia;Marketing digital para pequenas empresas;https://pages.terraempresas.com.br/lp-marketing-digital-pequenas-empresas/?cdConvenio=CVTR00002025utm_source=Terra&utm_medium=espacos-editoriais&utm_campaign=Inbound&utm_term=terra-empresas&utm_content=webinar
Notícia;Qual a diferença entre MEI, EIRELI e empresário individual?;https://www.terraempresas.com.br/blog/qual-a-diferenca-entre-mei-eireli-e-empresario-individual/?cdConvenio=CVTR00002025utm_source=Terra&utm_medium=espacos-editoriais&utm_campaign=Inbound&utm_term=terra-empresas&utm_content=blogpost
Notícia;Batidinha de amendoim: bebida diferente pronta em 20 minutos;https://www.terra.com.br/vida-e-estilo/culinaria/guia-da-cozinha/batidinha-de-amendoim-bebida-diferente-pronta-em-20-minutos,8b76b2f57b1db83bc1860a9b5519aa00w4wk6rt7.html
Notícia;Nosso dinheiro em dezembro e em tempos de mudanças;https://www.terra.com.br/vida-e-estilo/horoscopo/esoterico/nosso-dinheiro-em-dezembro-e-em-tempos-de-mudancas,0c578492670f93fb9117d8db05e7ef81mxu9g4zn.html
Notícia;Canais alvos do STF têm acesso privilegiado a Bolsonaro;https://www.terra.com.br/noticias/brasil/politica/videos/canais-bolsonaristas,7685a0b914d2a558a94c19ee6aa6a826w0o9r0ao.html
Notícia;MP investiga servidores suspeitos de candidaturas fictícias;https://www.terra.com.br/noticias/brasil/catve/videos/ministerio-publico-investiga-servidores-com-suspeita-de-candidaturas-ficticias,9086257.html
Notícia;Homem é preso por tentar estuprar garota de programa no PR;https://www.terra.com.br/noticias/brasil/catve/videos/homem-e-preso-por-tentar-estuprar-garota-de-programa-em-cascavel,9086077.html
Notícia;PR: ciclista fica gravemente ferido ao bater contra caminhão;https://www.terra.com.br/noticias/brasil/catve/videos/ciclista-fica-gravemente-ferido-ao-bater-violentamente-contra-caminhao-na-br-277,9086107.html
Notícia;Macaco-prego resgatado após mãe morrer atropelada está bem;https://www.terra.com.br/noticias/brasil/catve/videos/macaco-prego-resgatado-apos-mae-morrer-atropelada-esta-bem-e-saudavel,9086123.html
Notícia;Spotify divulga artistas e músicas mais ouvidos em 2020;https://www.terra.com.br/diversao/musica/videos/spotify-divulga-artistas-e-musicas-mais-ouvidos-em-2020,9085632.html
Notícia;"""Não julgo que governo esteja travando a reforma tributária""";https://www.dinheirorural.com.br/nao-julgo-que-o-governo-esteja-travando-a-reforma-tributaria-diz-mourao/
Notícia;Presidente do Santos diz 'correr' para saldar dívidas em final de mandato;https://www.terra.com.br/esportes/lance/presidente-do-santos-diz-correr-para-saldar-dividas-em-final-de-mandato,1bfca1d4389b69added51491dce52604oyqu1qm8.html
Notícia;Tóquio diz que adiamento dos Jogos custará US$ 2,8 bilhões;https://www.terra.com.br/esportes/jogos-olimpicos/toquio-diz-que-adiamento-dos-jogos-custara-us-28-bilhoes,f8c1b117508e132b71ba774a515e1afezx8gdua4.html
Notícia;Fla é condenado a pagar indenização a torcedor do Botafogo;https://www.terra.com.br/esportes/futebol/fla-e-condenado-a-pagar-indenizacao-a-torcedor-do-botafogo,7ad4f9d6fc86506d03990f57fe603445l38728km.html
Notícia;'10 Horas para o Natal' é o puro suco do humor para crianças;https://www.terra.com.br/diversao/cinema/10-horas-para-o-natal-e-o-puro-suco-do-humor-para-criancas,7395349daaa72cdd80e49d958ae73512jm3d3g0c.html
Notícia;Livro de Monteiro Lobato sofre alterações no centenário;https://www.terra.com.br/diversao/arte-e-cultura/livro-de-monteiro-lobato-sofre-alteracoes-no-centenario,3452a00afcc5530b2917fc9ccb1fc627qdx98dt9.html
Notícia;Galvão enaltece líder São Paulo e diz: 'Tem tudo para abrir cinco pontos após o outro jogo atrasado';https://www.terra.com.br/esportes/lance/galvao-enaltece-lider-sao-paulo-e-diz-tem-tudo-para-abrir-cinco-pontos-apos-o-outro-jogo-atrasado,0324e210b367eaf6e76d9e9c1786e89cmmy4rtcc.html
