Category;Title;Link
Jornalismo;Vídeo mostra roubo de bike de R$30 mil em prédio em Salvador (reprodução);https://g1.globo.com/ba/bahia/noticia/2020/12/04/morador-tem-bike-de-r-30-mil-roubada-em-condominio-de-salvador-cameras-flagram-acao.ghtml
Jornalismo;Mc Kevin é internado em UTI de hospital após acidente de carro (Reprodução/Instagram);https://revistaquem.globo.com/QUEM-News/noticia/2020/12/mc-kevin-e-internado-em-hospital-apos-acidente-de-carro.html
Jornalismo;Após ficar viúvo e ter Covid, Raoni desdenha de crítica de Bolsonaro (Reprodução/TV Globo);https://gshow.globo.com/programas/conversa-com-bial/noticia/cacique-raoni-desdenha-de-criticas-de-bolsonaro-nao-tem-importancia-o-que-ele-fala-eu-vou-seguir-minha-luta.ghtml
Jornalismo;Prefeita eleita no Rio Grande do Sul de 72 anos morre por complicações da Covid;https://g1.globo.com/rs/rio-grande-do-sul/noticia/2020/12/04/morre-prefeita-eleita-de-santo-antonio-das-missoes-por-complicacoes-da-covid-19.ghtml
Jornalismo;"Morre Cira do Acarajé, famosa quituteira; autoridades lamentam (Maiana Belo/G1 )";https://g1.globo.com/ba/bahia/noticia/2020/12/04/cira-do-acaraje-morre-em-salvador.ghtml
Jornalismo;Homem perde R$ 2,6 mi em games após mãe jogar coleção fora (Reprodução/J&L Games);https://www.techtudo.com.br/noticias/2020/12/homem-perde-r-26-milhoes-em-videogames-apos-mae-jogar-fora-sua-colecao.ghtml
Jornalismo;Organizador de orgias gays com políticos diz que ninguém pode ser espectador;https://extra.globo.com/noticias/page-not-found/organizador-de-orgias-em-bruxelas-diz-que-politicos-de-nove-paises-frequentam-eventos-24780554.html
Jornalismo;Após viralizar por sair de casa com Covid, Miss Brasil se desculpa (Reprodução Instagram);https://revistaglamour.globo.com/Celebridades/noticia/2020/12/apos-sair-de-casa-com-covid-19-para-ir-na-padaria-miss-brasil-se-pronuncia.html
Jornalismo;Como casal escolheu embrião congelado há 27 anos para ser filha (Reprodução: ABC/News/ Cortesia Molly Gibson);https://epoca.globo.com/mundo/embriao-congelado-por-27-anos-como-casal-escolheu-bebe-que-quebrou-recorde-24780640
Jornalismo;Golpista debocha de vítimas e mostra o que comprou com dinheiro (Reprodução);https://g1.globo.com/to/tocantins/noticia/2020/12/04/criminosos-ligam-para-vitimas-e-debocham-ao-mostrar-produtos-comprados-com-dinheiro-de-golpe.ghtml
Esporte;Veja famosos sem clube perto de fechar mercado na Série B (Arte / Inforesporte);https://globoesporte.globo.com/pe/futebol/noticia/ramires-marquinhos-gabriel-jucilei-veja-atletas-sem-contrato-no-fim-das-inscricoes-para-serie-b.ghtml
